,index,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators,rawPower,NumRaces,NumUsers,coeffs,controls,method,maxCorrMinDelta
2105,26337,1,250,,7763,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435842967260,Andrey,1435842924,0.349400636109,69,68,449805108.0,068-069-201507021615-Andrey-move.csv,37.6128059871,55.7805616131,7763-250,068-069,25002,-97,2,3,0.966191651518,1.0,byCorr,1.0
2035,26267,1,250,,7763,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435842926187,vlad,1435842924,0.585105719569,69,68,449805108.0,068-069-201507021614-vlad-move.csv,37.6201808461,55.7801253709,7763-250,068-069,25002,-101,2,3,0.948102783229,1.0,byCorr,1.0
2343,26782,1,250,,7763,250,2,ServiceLog,2G,EDGE,-1,-113.0,1435846581644,Anna,1435843291,0.361585399439,69,68,449805108.0,068-069-201507021715-Anna-move.csv,37.6131875275,55.7805406929,7763-250,068-069,25002,-113,2,2,0.931108342198,1.0,byCorr,1.0
2166,26409,1,275,692.0,7763,250,2,Проспект Мира (КЛЦ) 2,2G,EDGE,-1,-65.0,1435843041159,Andrey,1435842924,0.991611492077,69,68,449805108.0,068-069-201507021615-Andrey-move.csv,37.6329460931,55.7797589056,7763-275,068-069,25002,-73,2,3,0.913875202712,1.0,byCorr,1.0
2468,27163,1,275,,7763,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435843184871,Andrey,1435843136,0.413398061594,68,69,449805108.0,069-068-201507021618-Andrey-move.csv,37.6201988367,55.7803387848,7763-275,069-068,25002,-105,2,3,0.936492067886,1.0,byCorr,1.0
2553,27259,1,275,,7763,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435843512492,Andrey,1435843480,0.224594003311,68,69,449805108.0,069-068-201507021624-Andrey-move.csv,37.6261313434,55.7800634395,7763-275,069-068,25002,-99,2,2,0.989789762916,1.0,byCorr,1.0
3324,32012,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-89.0,1435917006638,Anna,1435914142,0.935065900567,74,73,244724959.0,073-074-201507031248-Anna-move.csv,37.6232167343,55.7287955696,7736-350,073-074,25002,-91,3,2,0.918847229353,1.0,byCorr,1.0
3451,32139,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-85.0,1435917672084,Anna,1435914799,0.967904789608,74,73,244724959.0,073-074-201507031259-Anna-move.csv,37.6226671441,55.7287522948,7736-350,073-074,25002,-79,3,2,0.943433151809,1.0,byCorr,1.0
3291,31979,1,370,,7736,250,2,ServiceLog,2G,EDGE,-1,-113.0,1435916974403,Anna,1435914142,0.465688750921,74,73,244724959.0,073-074-201507031248-Anna-move.csv,37.6309819949,55.7295974835,7736-370,073-074,25002,-113,2,2,0.823705717375,1.0,byCorr,1.0
3194,31853,1,370,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435914838736,Andrey,1435914799,0.45331672437,74,73,244724959.0,073-074-201507031213-Andrey-move.csv,37.6311746809,55.7296431718,7736-370,073-074,25002,-103,2,2,0.831828128954,1.0,byCorr,1.0
