,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,NumRaces,NumUsers,PSC,Power,TimeStamp,User,coeffs,controls,index,laccid,maxCorrMinDelta,method,netOperators,quality,race_id,ratio,rawPower,segment,segment_end_id,segment_start_id,session_id,source_file,x,y
48,,250,,7763,,,,2G,EDGE,2,,,-102.0,,,0.93773,1.0,,7763-250,1.0,byCorr,,0.26,1435842924,0.118338557994,,068-069,69,68,,,,
40,,275,,7763,,,,2G,EDGE,2,,,-67.0,,,0.90259,1.0,,7763-275,1.0,byCorr,,-4.51,1435843291,1.1724137931,,068-069,69,68,,,,
29,,275,,7763,,,,2G,EDGE,2,,,-104.0,,,0.97425,1.0,,7763-275,1.0,byCorr,,0.23,1435843136,0.224097980801,,069-068,68,69,,,,
32,,370,,7736,,,,2G,EDGE,2,,,-105.0,,,0.99534,1.0,,7736-370,1.0,byCorr,,0.6,1435914142,0.351898734177,,073-074,74,73,,,,
75,,350,,7736,,,,2G,EDGE,2,,,-82.0,,,0.94876,1.0,,7736-350,1.0,byCorr,,0.89,1435914799,1.06329113924,,073-074,74,73,,,,
41,,350,,7736,,,,2G,EDGE,3,,,-104.0,,,0.94049,1.0,,7736-350,1.0,byCorr,,-0.04,1435914255,0.462765957447,,074-075,75,74,,,,
36,,341,,7736,,,,2G,EDGE,2,,,-102.0,,,0.97542,1.0,,7736-341,1.0,byCorr,,0.1,1435914434,0.527777777778,,075-074,74,75,,,,
69,,350,,7736,,,,2G,EDGE,2,,,-62.0,,,0.99796,1.0,,7736-350,1.0,byCorr,,0.93,1435914434,0.972023809524,,075-074,74,75,,,,
7075,1,340,,7736,250.0,2.0,ServiceLog,2G,EDGE,7,1.0,-1.0,-97.0,1.43582841025e+12,Andrey,0.93966,1.0,51571.0,7736-340,1.0,byCorr,25002.0,,1435828371,0.36,-97.0,098-099,99,98,321756903.0,098-099-201507021212-Andrey-move.csv,37.6072665434,55.7269304455
7128,1,340,,7736,250.0,2.0,ServiceLog,2G,EDGE,7,1.0,-1.0,-99.0,1.43585037256e+12,Andrey,0.98322,1.0,51670.0,7736-340,1.0,byCorr,25002.0,,1435850333,0.37,-99.0,098-099,99,98,597905036.0,098-099-201507021818-Andrey-move.csv,37.6072642441,55.7267644389
36,,340,,7736,,,,2G,EDGE,7,,,-101.0,,,0.99141,1.0,,7736-340,1.0,byCorr,,-0.15,1435850918,0.337346938776,,098-099,99,98,,,,
40,,340,,7736,,,,2G,EDGE,7,,,-101.0,,,0.98427,1.0,,7736-340,1.0,byCorr,,0.37,1435851203,0.308510638298,,098-099,99,98,,,,
38,,340,,7736,,,,2G,EDGE,7,,,-108.0,,,0.9902,1.0,,7736-340,1.0,byCorr,,0.29,1435915183,0.339047619048,,098-099,99,98,,,,
7933,1,340,,7736,250.0,2.0,ServiceLog,2G,EDGE,7,1.0,-1.0,-105.0,1.43591634051e+12,Andrey,0.99303,1.0,52790.0,7736-340,1.0,byCorr,25002.0,,1435916299,0.39,-105.0,098-099,99,98,244724959.0,098-099-201507031238-Andrey-move.csv,37.6072611452,55.7265407082
7153,1,1000,,7736,250.0,2.0,ServiceLog,2G,EDGE,6,1.0,-1.0,-57.0,1.43585041593e+12,Andrey,0.97964,1.0,51711.0,7736-1000,1.0,byCorr,25002.0,,1435850333,0.88,-57.0,098-099,99,98,597905036.0,098-099-201507021818-Andrey-move.csv,37.6076779577,55.7208747028
